,ShipmentNo_,Status,Direction,Product,ShipmentType,ProductType,Oper_Year,Oper_Period,ShipmentWeek,ShipmentDay,ShipmentDate,Principal,Carrier,Incoterm,ShipperPostcode,ShipperCity,ShipperCountry,ConsigneePostcode,ConsigneeCity,ConsigneeCountry,Invoiced,Insurance,LetterOfCredit,Dangerous,Pieces,ActualWeight(kg),Volume(cbm),Charg_Weight(kg),W/M,FCLTEU,GP(EUR),WeightGroup,TrackingNumber,(Air)PortofOrigin,OriginCountry,(Air)PortofDestination,DestinationCountry,MS1Count,MS2Count,MS3Count,MS4Count,MS5Count,MS6Count
908,2100523,1,1,2,LCL,LCL,2019,201908,2019/31,00:00.0,04.08.2019,Customer 355,NAQA - VANGUARD LOGISTICS SERVICES UAE,DDP,LU3 3AN,LUTON,GB - UNITED KINGDOM,.,ABU DHABI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,51,0.701,-,1,0,92.35,-,-,LONDON GATEWAY PORT,GB-UNITED KINGDOM,ABU DHABI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
909,2100524,1,1,1,FCL,FCL,2019,201907,2019/30,00:00.0,24.07.2019,Customer 258,HLCU - HAPAG-LLOYD AGENCY L.L.C,DAP,1080,WIEN,AT - AUSTRIA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"5,925",20,-,20,1,109.63,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
910,2100525,1,1,1,FCL,FCL,2019,201908,2019/32,00:00.0,10.08.2019,Customer 516,CGMU - CMA CGM AND ANL (NE) LLC,FOB,.,DUBAI,AE - UNITED ARAB EMIRATES,1401,JOHANNESBURG,ZA - SOUTH-AFRICA,Yes,N,N,N,-,"80,720",150,-,150,6,76.26,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,DURBAN,ZA-SOUTH AFRICA,1,1,1,1,1,1
911,2100526,1,1,2,LCL,LCL,2019,201907,2019/30,00:00.0,22.07.2019,Customer 579,ECUI - ECU LINE MIDDLE EAST LLC,EXW,75008,PARIS,FR - FRANCE,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"1,195",3.37,-,3,0,274.79,-,-,LE HAVRE,FR-FRANCE,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
912,2100527,1,1,1,FCL,FCL,2019,201907,2019/29,00:00.0,21.07.2019,Customer 941,HLCU - HAPAG-LLOYD AGENCY L.L.C,CFR,79780,STUEHLINGEN,DE - GERMANY,0,RAS AL KHAIMAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"6,370",20,-,20,1,109.63,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
913,2100528,1,1,1,FCL,FCL,2019,201907,2019/29,00:00.0,21.07.2019,Customer 341,HLCU - HAPAG-LLOYD AGENCY L.L.C,CFR,79650,SCHOPFHEIM,DE - GERMANY,.,ABU DHABI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"26,515",120,-,120,6,109.63,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
914,2100529,1,0,1,FCL,FCL,2019,201907,2019/29,00:00.0,15.07.2019,Customer 935,HLCU - HAPAG-LLOYD AGENCY L.L.C,EXW,.,DUBAI,AE - UNITED ARAB EMIRATES,2236,VILNIUS,LT - LITHUANIA,Yes,N,N,N,-,"40,493",60,-,60,3,485.11,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,KLAIPEDA,LT-LITHUANIA,1,1,1,1,0,0
915,2100530,1,1,1,FCL,FCL,2019,201907,2019/28,00:00.0,13.07.2019,Customer 251,OOCL - OOCL (UAE) LLC,CFR,57319,BERLEBURG,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"64,940",75,-,75,6,276.01,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
916,2100531,1,1,2,LCL,LCL,2019,201907,2019/29,00:00.0,17.07.2019,Customer 193,SHPT - SSC CONSOLIDATION SHIPCO,CFR,200032,SHANGHAI,CN - CHINA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"5,855",10.9,-,11,0,109.63,-,-,SHANGHAI PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
917,2100532,1,0,2,LCL,LCL,2019,201907,2019/29,00:00.0,16.07.2019,Customer 706,NAQA - VANGUARD LOGISTICS SERVICES UAE,CFR,",",FUJAIRAH,AE - UNITED ARAB EMIRATES,11195,AMMAN,JO - JORDAN,Yes,N,N,N,-,"1,177",2.43,-,2,0,239.88,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,'AQABA,JO-JORDAN,1,1,1,1,0,0
